,name,img,description
241,A/D Near Trace 3,https://img.game8.co/3374132/ada494634e622936549d136641ddb3bd.png/show,"Enables \xe3\x80\x90Canto (Rem.+1)\xe3\x80\x91.  Inflicts Atk/Def-3 on foe during combat.  \xe3\x80\x90Canto (Rem.+1)\xe3\x80\x91 After combat, unit can move spaces equal to the number of spaces they have not used yet in their previous action according to their movement type plus 1 (+1 space). For example, a flying unit who has moved 1 space to attack an opponent, can move 2 spaces after as fliers have 2 spaces of movement. (1 space remaining + 1 space bonus)"
242,A/R Far Trace 1,https://img.game8.co/3377350/733a883713ffd10736b2d65a5039c4a2.png/show,"Enables \xe3\x80\x90Canto (Rem.)\xe3\x80\x91.  Inflicts Atk/Res-1 on foe during combat.  \xe3\x80\x90Canto (Rem.)\xe3\x80\x91 After combat, unit can move spaces equal to the number of spaces they have not used yet in their previous action according to their movement type. For example, a flying unit who has moved 1 space to attack an opponent, can move 1 spaces after as fliers have 2 spaces of movement."
243,A/D Far Trace 1,https://img.game8.co/3374135/1e51b27740384c6e032e07ea61ebe1f5.png/show,"Enables \xe3\x80\x90Canto (Rem.)\xe3\x80\x91.  Inflicts Atk/Def-1 on foe during combat.  \xe3\x80\x90Canto (Rem.)\xe3\x80\x91 After combat, unit can move spaces equal to the number of spaces they have not used yet in their previous action according to their movement type. For example, a flying unit who has moved 1 space to attack an opponent, can move 1 spaces after as fliers have 2 spaces of movement."
244,A/R Far Trace 2,https://img.game8.co/3377351/9c1af88f0e4d09f8201bd46dd3f391ae.png/show,"Enables \xe3\x80\x90Canto (Rem.)\xe3\x80\x91.  Inflicts Atk/Res-2 on foe during combat.  \xe3\x80\x90Canto (Rem.)\xe3\x80\x91 After combat, unit can move spaces equal to the number of spaces they have not used yet in their previous action according to their movement type. For example, a flying unit who has moved 1 space to attack an opponent, can move 1 spaces after as fliers have 2 spaces of movement."
245,A/D Far Trace 2,https://img.game8.co/3374136/d0a8a4c3b40d15ea1c30b0ca4e7cb5b1.png/show,"Enables \xe3\x80\x90Canto (Rem.)\xe3\x80\x91.  Inflicts Atk/Def-2 on foe during combat.  \xe3\x80\x90Canto (Rem.)\xe3\x80\x91 After combat, unit can move spaces equal to the number of spaces they have not used yet in their previous action according to their movement type. For example, a flying unit who has moved 1 space to attack an opponent, can move 1 spaces after as fliers have 2 spaces of movement."
246,A/R Far Trace 3,https://img.game8.co/3377352/d90dc7a5012aab1890bbd3a6e8f5ac60.png/show,"Enables \xe3\x80\x90Canto (Rem.)\xe3\x80\x91.  Inflicts Atk/Res-3 on foe during combat.  \xe3\x80\x90Canto (Rem.)\xe3\x80\x91 After combat, unit can move spaces equal to the number of spaces they have not used yet in their previous action according to their movement type. For example, a flying unit who has moved 1 space to attack an opponent, can move 1 spaces after as fliers have 2 spaces of movement."
247,A/D Far Trace 3,https://img.game8.co/3374137/7e9e9d0ccb0b7c88f016c3687e32fb4b.png/show,"Enables \xe3\x80\x90Canto (Rem.)\xe3\x80\x91.  Inflicts Atk/Def-3 on foe during combat.  \xe3\x80\x90Canto (Rem.)\xe3\x80\x91 After combat, unit can move spaces equal to the number of spaces they have not used yet in their previous action according to their movement type. For example, a flying unit who has moved 1 space to attack an opponent, can move 1 spaces after as fliers have 2 spaces of movement."
248,A/S Far Trace 1,https://img.game8.co/3418230/c80ad96b44ead06b33bfd2396543fd84.png/show,"Enables \xe3\x80\x90Canto (Rem.)\xe3\x80\x91.  Inflicts Atk/Spd-1 on foe during combat.  \xe3\x80\x90Canto (Rem.)\xe3\x80\x91 After combat, unit can move spaces equal to the number of spaces they have not used yet in their previous action according to their movement type. For example, a flying unit who has moved 1 space to attack an opponent, can move 1 spaces after as fliers have 2 spaces of movement."
249,A/S Far Trace 2,https://img.game8.co/3418228/3e79a1188b4bb28f79fdf02c986f28f4.png/show,"Enables \xe3\x80\x90Canto (Rem.)\xe3\x80\x91.  Inflicts Atk/Spd-2 on foe during combat.  \xe3\x80\x90Canto (Rem.)\xe3\x80\x91 After combat, unit can move spaces equal to the number of spaces they have not used yet in their previous action according to their movement type. For example, a flying unit who has moved 1 space to attack an opponent, can move 1 spaces after as fliers have 2 spaces of movement."
250,A/S Far Trace 3,https://img.game8.co/3418223/c19ea7534c294c392d47dc19d946184b.png/show,"Enables \xe3\x80\x90Canto (Rem.)\xe3\x80\x91.  Inflicts Atk/Spd-3 on foe during combat.  \xe3\x80\x90Canto (Rem.)\xe3\x80\x91 After combat, unit can move spaces equal to the number of spaces they have not used yet in their previous action according to their movement type. For example, a flying unit who has moved 1 space to attack an opponent, can move 1 spaces after as fliers have 2 spaces of movement."
251,,,
252,Dull Ranged 1,https://img.game8.co/3407617/b47623d1386d60dea6a1d7421a4ac9d1.png/show,"At start of combat, if unit\xe2\x80\x99s HP \xc2\xa0= 100% and foe uses bow, dagger, magic or staff, neutralizes foe\xe2\x80\x99s bonuses (from skills like Fortify, Rally, etc. ) during combat."
253,Dull Ranged 2,https://img.game8.co/3407619/a43acb7ee6039de4de806014671a0a8a.png/show,"At start of combat, if unit\xe2\x80\x99s HP \xe2\x89\xa5 50% and foe uses bow, dagger, magic or staff, neutralizes foe\xe2\x80\x99s bonuses (from skills like Fortify, Rally, etc. ) during combat."
254,Dull Ranged 3,https://img.game8.co/3407620/d9c3f35179184f40e3a5917636b15439.png/show,"If foe uses bow, dagger, magic or staff, neutralizes foe\xe2\x80\x99s bonuses (from skills like Fortify, Rally, etc. ) during combat."
255,Dull Close 1,https://img.game8.co/3407615/8e9faedcf15c401d1ed200d610e85dc0.png/show,"At start of combat, if unit's HP = 100% and foe uses sword, lance, axe, dragonstone, or beast damage, neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat."
256,Dull Close 2,https://img.game8.co/3407618/cf29b27ade435021f1504c72ec3bd852.png/show,"At start of combat, if unit's HP \xe2\x89\xa5 50% and foe uses sword, lance, axe, dragonstone, or beast damage, neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat."
257,Dull Close 3,https://img.game8.co/3407616/4f3befd35a6f74413406a3af4090cea2.png/show,"If foe uses sword, lance, axe, dragonstone, or beast damage, neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat."
258,Flow Refresh 1,https://img.game8.co/3384392/917c6d5af1ebead40ad1fa37e6b4a215.png/show,"At start of combat, if unit's HP = 100% and unit initiates combat, neutralizes effects that prevent unit's follow-up attacks and restores 5 HP to unit after combat."
259,Flow Refresh 2,https://img.game8.co/3384391/3d377aa27de9d8a85d1696c3ab9fd089.png/show,"At start of combat, if unit's HP \xe2\x89\xa5 50% and unit initiates combat, neutralizes effects that prevent unit's follow-up attacks and restores 7 HP to unit after combat."
260,Flow Refresh 3,https://img.game8.co/3384393/4b8b13516e058bbc9d0a2fc8ccfd0503.png/show,"If unit initiates combat, neutralizes effects that prevent unit's follow-up attacks and restores 10 HP to unit after combat."
261,Atk Feint 1,https://img.game8.co/3407496/fccae3522b22f5d421c49c29b4648f72.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk-3 on foes in cardinal directions of unit through their next actions."
262,Atk Feint 2,https://img.game8.co/3407494/63f374e8d79d6daa48b34a01ba3ab954.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk-5 on foes in cardinal directions of unit through their next actions."
263,Atk Feint 3,https://img.game8.co/3407492/ed6d917ef0c688f25d6c0e583dee773e.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk-7 on foes in cardinal directions of unit through their next actions."
264,Spd Feint 1,https://img.game8.co/3405692/fac73b9f04f5f91cd8d388838e230d97.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Spd -3 on foes in cardinal directions of unit through their next actions."
265,Spd Feint 2,https://img.game8.co/3405691/56859102e080926e7f0c2bedaa4b4280.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Spd -5 on foes in cardinal directions of unit through their next actions."
266,Spd Feint 3,https://img.game8.co/3405690/320024f31c00be58cef8c42ea92fe48a.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Spd -7 on foes in cardinal directions of unit through their next actions."
267,Def Feint 1,https://img.game8.co/3407686/9a8fec72e7dbf5ef7ac483743e05ff7f.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Def -3 on foes in cardinal directions of unit through their next actions."
268,Def Feint 2,https://img.game8.co/3407683/778ae54f9e5bc81bcb519d7be45fd086.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Def -5 on foes in cardinal directions of unit through their next actions."
269,Def Feint 3,https://img.game8.co/3407682/aadb40db548fb52515eaf9b0a381c155.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Def -7 on foes in cardinal directions of unit through their next actions."
270,Res Feint 1,https://img.game8.co/3407579/423465860f7eda4c3395956ced35c615.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Res-3 on foes in cardinal directions of unit through their next actions."
271,Res Feint 2,https://img.game8.co/3407589/b588b0af876958d175666265fb3f5dc7.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Res-5 on foes in cardinal directions of unit through their next actions."
272,Res Feint 3,https://img.game8.co/3407591/407cc06306625214277f82d63192e5e6.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Res-7 on foes in cardinal directions of unit through their next actions."
273,Def/Res Ruse 3,https://img.game8.co/3407583/a5c0b1a21d32f9e9776299821509e554.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Def/Res-5 and\xe3\x80\x90Guard\xe3\x80\x91on foes in cardinal directions of unit and target through their next actions.\xe3\x80\x90Guard\xe3\x80\x91 Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)"
274,Def/Res Ruse 2,https://img.game8.co/3407584/9f28347d49f2a90edda8492b4e90a4de.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Def/Res-3 and\xe3\x80\x90Guard\xe3\x80\x91on foes in cardinal directions of unit and target through their next actions.\xe3\x80\x90Guard\xe3\x80\x91 Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)"
275,Def/Res Ruse 1,https://img.game8.co/3407574/a6978c9d2a99d5c51ea9777e077eef35.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Def/Res-1 and\xe3\x80\x90Guard\xe3\x80\x91on foes in cardinal directions of unit and target through their next actions.\xe3\x80\x90Guard\xe3\x80\x91 Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)"
276,Atk/Spd Ruse 3,https://img.game8.co/3374857/6f339a9a7e6689f0247bb385abe8da91.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk/Spd-5 and\xe3\x80\x90Guard\xe3\x80\x91on foes in cardinal directions of unit and target through their next actions.\xe3\x80\x90Guard\xe3\x80\x91 Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)"
277,Atk/Spd Ruse 2,https://img.game8.co/3374856/0a143695838997de1de7da14ec2a18a0.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk/Spd-3 and\xe3\x80\x90Guard\xe3\x80\x91on foes in cardinal directions of unit and target through their next actions.\xe3\x80\x90Guard\xe3\x80\x91 Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)"
278,Atk/Spd Ruse 1,https://img.game8.co/3374855/6b48ed900b728f5010f3e8e4778e80d8.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk/Spd-1 and\xe3\x80\x90Guard\xe3\x80\x91on foes in cardinal directions of unit and target through their next actions.\xe3\x80\x90Guard\xe3\x80\x91 Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)"
279,Spd/Res Ruse 1,https://img.game8.co/3407598/193eb8b2b5fb98b71e5c9e079ad489ba.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Spd/Res-1 and\xe3\x80\x90Guard\xe3\x80\x91on foes in cardinal directions of unit and target through their next actions.\xe3\x80\x90Guard\xe3\x80\x91 Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)"
280,Spd/Res Ruse 2,https://img.game8.co/3407594/66f96c8a8bf4d618408f1c3be71b8fc5.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Spd/Res-3 and\xe3\x80\x90Guard\xe3\x80\x91on foes in cardinal directions of unit and target through their next actions.\xe3\x80\x90Guard\xe3\x80\x91 Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)"
281,Spd/Res Ruse 3,https://img.game8.co/3407588/6e011f14a93b128d2d70bb98bb87a856.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Spd/Res-5 and\xe3\x80\x90Guard\xe3\x80\x91on foes in cardinal directions of unit and target through their next actions.\xe3\x80\x90Guard\xe3\x80\x91 Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)"
282,Spd/Def Ruse 1,https://img.game8.co/3407936/1727c6a67aa73356ea034e879df921d0.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Spd/Def-1 and \xe3\x80\x90Guard\xe3\x80\x91 on foes in cardinal direction of unit and target through their next actions. \xe3\x80\x90Guard\xe3\x80\x91 Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)"
283,Spd/Def Ruse 2,https://img.game8.co/3407938/41057db9785d08e7658c1b1c0f61566a.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Spd/Def-3 and \xe3\x80\x90Guard\xe3\x80\x91 on foes in cardinal direction of unit and target through their next actions. \xe3\x80\x90Guard\xe3\x80\x91 Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)"
284,Spd/Def Ruse 3,https://img.game8.co/3407937/7166352cd94396f96941b0c665640ea0.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Spd/Def-5 and \xe3\x80\x90Guard\xe3\x80\x91 on foes in cardinal direction of unit and target through their next actions. \xe3\x80\x90Guard\xe3\x80\x91 Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)"
285,Atk/Def Ruse 1,https://img.game8.co/3407927/8603803d6366ee298cf09579104221a2.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk/Def-1 and\xe3\x80\x90Guard\xe3\x80\x91on foes in cardinal directions of unit and target through their next actions.\xe3\x80\x90Guard\xe3\x80\x91 Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)"
286,Atk/Def Ruse 2,https://img.game8.co/3407928/891416b2e00d5d10071f031b0377d8b1.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk/Def-3 and\xe3\x80\x90Guard\xe3\x80\x91on foes in cardinal directions of unit and target through their next actions.\xe3\x80\x90Guard\xe3\x80\x91 Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)"
287,Atk/Def Ruse 3,https://img.game8.co/3450181/882947e76f7ad662a45ef8bba8b7540f.png/show,"If a Rally Assist skill is used by unit or targets unit, inflicts Atk/Def-5 and\xe3\x80\x90Guard\xe3\x80\x91on foes in cardinal directions of unit and target through their next actions.\xe3\x80\x90Guard\xe3\x80\x91 Inflicts Special cooldown charge -1 on target per attack during combat through its next action. (Only highest value applied. Does not stack.)"
288,Flow Guard 1,https://img.game8.co/3454815/b6300ba97340136eb7e311f6e463e1ef.png/show,"At the start of combat, if unit's HP = 100% and unit initiates combat, neutralizes effects that prevent unit's follow-up attacks and inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.)"
289,Flow Guard 2,https://img.game8.co/3454812/a837f78942081853a00d2649e0305fe4.png/show,"At the start of combat, if unit's HP \xe2\x89\xa5 50% and unit initiates combat, neutralizes effects that prevent unit's follow-up attacks and inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.)"
290,Flow Guard 3,https://img.game8.co/3454813/20d734a0f5aeaac7f73ee5225f2ebe5a.png/show,"If unit initiates combat, neutralizes effects that prevent unit's follow-up attacks and inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.)"
291,Pegasus Flight 1,https://img.game8.co/3407923/84bfff104f876a71543f11c7d3732c11.png/show,"At start of combat, if unit's Spd \xe2\x89\xa5 foe's Spd-7, inflicts penalty on foe's Atk/Def during combat = 30% of difference between Res stats (unit\xe2\x80\x99s Res minus foe\xe2\x80\x99s Res) before combat. (Maximum penalty of -3.)"
292,Pegasus Flight 2,https://img.game8.co/3407925/29d5cdb8b179c3c534db51a7c882ed89.png/show,"At start of combat, if unit's Spd \xe2\x89\xa5 foe's Spd-7, inflicts penalty on foe's Atk/Def during combat = 40% of difference between Res stats (unit\xe2\x80\x99s Res minus foe\xe2\x80\x99s Res) before combat. (Maximum penalty of -5.)"
293,Pegasus Flight 3,https://img.game8.co/3407926/7ad0e70cb9ae153ab128db2ea41d855b.png/show,"At start of combat, if unit's Spd \xe2\x89\xa5 foe's Spd-7, inflicts penalty on foes Atk/Def during combat = 50% of difference between Res stats (unit\xe2\x80\x99s Res minus foe\xe2\x80\x99s Res) before combat. (Maximum penalty of -7)."
294,Renewal 1,https://img.game8.co/3405750/9b8d165d61c9a9c179e544ded3315ae6.png/show,"At the start of every fourth turn, restores 10 HP."
295,Renewal 2,https://img.game8.co/3405749/7b12575fa022b8edbe5dfe3e99880898.png/show,"At the start of every third turn, restores 10 HP."
296,Renewal 3,https://img.game8.co/3405748/5f04e16b91db5b4b63b2963aabc11e8a.png/show,"At the start of every second turn, restores 10 HP."
297,Guard 1,https://img.game8.co/3406284/ffe55e7493de67b9367486b39900c1ad.png/show,"If unit\xe2\x80\x99s HP \xc2\xa0= 100% at start of combat, enemy is inflicted with Special cooldown charge -1. (If using similar skill, only highest value applied. )"
298,Guard 2,https://img.game8.co/3406285/5273b07821f8f133e68047dff16a8bea.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 90% at start of combat, enemy is inflicted with Special cooldown charge -1. (If using similar skill, only highest value applied. )"
299,Guard 3,https://img.game8.co/3406283/9b79b98e9a8868be24ef8fd35d46b165.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 80% at start of combat, enemy is inflicted with Special cooldown charge -1. (If using similar skill, only highest value applied. )"
300,Cancel Affinity 1,https://img.game8.co/3407770/5090fc1d11d3110c07dc155d7776ce9d.png/show,Any weapon triangle affinity granted by unit\xe2\x80\x99s skills is negated. Also negates any weapon triangle affinity granted by foe\xe2\x80\x99s skills.
301,Cancel Affinity 2,https://img.game8.co/3407768/d50bb641468fa9e605ec93de95284a83.png/show,"Any weapon triangle affinity granted by unit\xe2\x80\x99s skills is negated. If affinity disadvantage exists, weapon triangle affinity granted by foe\xe2\x80\x99s skills is negated."
302,Cancel Affinity 3,https://img.game8.co/3407769/4477ee97f36319b72c95d9cdd3b8f7c9.png/show,"Any weapon triangle affinity granted by unit\xe2\x80\x99s skills is negated. If affinity disadvantage exists, weapon triangle affinity granted by foe\xe2\x80\x99s skills is reversed."
303,Shield Pulse 1,https://img.game8.co/3405698/751c8d10da6a53cfc1fe3592d8bfce41.png/show,"At the start of turn 1, if foe\xe2\x80\x99s attack triggers Special, grants Special cooldown -1."
304,Shield Pulse 2,https://img.game8.co/3405697/c48f2d46e6982f9a7d7877e73e51bdf5.png/show,"At the start of turn 1, if foe\xe2\x80\x99s attack triggers Special, grants Special cooldown -1. Unit takes 5 less damage when Special triggers."
305,Shield Pulse 3,https://img.game8.co/3405699/5069b21a1a0c848a8dc670876533ba02.png/show,"At the start of turn 1, if foe\xe2\x80\x99s attack triggers Special, grants Special cooldown -2. Unit takes 5 less damage when Special triggers."
306,Wrath 1,https://img.game8.co/3405493/de3f3f46e0e7dccae8dabe63ff8b2bc6.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa4 25%, Special cooldown count -1 at start of turn if Special triggers by attacking. If Special triggers, +10 damage from Special."
307,Wrath 2,https://img.game8.co/3405492/aa87562405053f5c97afb44e9ac21fe5.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa4 50%, Special cooldown count -1 at start of turn if Special triggers by attacking. If Special triggers, +10 damage from Special."
308,Wrath 3,https://img.game8.co/3405494/931397afa202b53586a541df075c9915.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa4 75%, Special cooldown count -1 at start of turn if Special triggers by attacking. If Special triggers, +10 damage from Special."
309,Poison Strike 1,https://img.game8.co/3405770/c66c0d25d7558004c783fa59a483cf88.png/show,"If unit initiates combat, deals 4 damage to foe after combat."
310,Poison Strike 2,https://img.game8.co/3405768/0b89bb78fea0b1324ac07cece84d3026.png/show,"If unit initiates combat, deals 7 damage to foe after combat."
311,Poison Strike 3,https://img.game8.co/3405769/0415ed1b5a207c9aaad8f25da43e03df.png/show,"If unit initiates combat, deals 10 damage to foe after combat."
312,Live for Honor,https://img.game8.co/3406144/f9ff050eb9c464f1781d21068d1fe77e.png/show,"If unit survives, get 1.5x badges from a Training Tower map. (If similar skill effects also used, only highest multiplier applied.)"
313,Live for Bounty,https://img.game8.co/3406145/931b8afb5787f958911d2abb92b68a3b.png/show,"If unit survives, get 1. 5x shards/crystals from a Training Tower map. (If similar skill effects also used, only highest multiplier applied. )"
314,Disarm Trap 1,https://img.game8.co/3374686/f10f6061a7349934598752628ab32c0d.png/show,"While attacking in Aether Raids, if unit ends movement on a space with a Bolt Trap or a Heavy Trap and that trap's level \xe2\x89\xa4 1, cancels trap's effect."
315,Disarm Trap 2,https://img.game8.co/3374685/bc1f268ea101511b3b64d9c49816343b.png/show,"While attacking in Aether Raids, if unit ends movement on a space with a Bolt Trap or a Heavy Trap and that trap's level \xe2\x89\xa4 3, cancels trap's effect."
316,Disarm Trap 3,https://img.game8.co/3374684/28d56bc24964ddc3f4818f09854902f7.png/show,"While attacking in Aether Raids, if unit ends movement on a space with a Bolt Trap or a Heavy Trap, cancels trap\xe2\x80\x99s effect."
317,Light and Dark,https://img.game8.co/3374675/1046c2f334fb4df7d889618f786cf362.png/show,"Inflicts Atk/Spd/Def/Res-2 on foe, neutralizes foe\xe2\x80\x99s bonuses (from skills like Fortify, Rally, etc.), and disables foe\xe2\x80\x99s skills that \xe2\x80\x9ccalculate damage using the lower of foes Def or Res\xe2\x80\x9d during combat."
318,Killing Intent,https://img.game8.co/3407217/7c707c0f017af6a91f093937ec5f5915.png/show,"At start of combat, if foe\'s HP < 100% or if\xe3\x80\x90Penalty\xe3\x80\x91is active on foe, inflicts Spd/Res-5 on foe, and if unit initiates combat, unit can make a follow-up attack before foe can counterattack.\xe3\x80\x90Penalty\xe3\x80\x91 All effects that last ""on foe through its next action. Includes penalties inflicted by a skill like Panic or Threaten and negative status effects (preventing counterattacks, restricting movement, or the effects of a skill like Triangle Adept or Guard)."
319,,,
320,Blaze Dance 1,https://img.game8.co/3407806/934363a7d5b10d45bec51ec9f4ae2b0e.png/show,"If Sing or Dance is used, grants Atk+2 to target."
321,Blaze Dance 2,https://img.game8.co/3407813/b795aa83512b5aa5fb9aaa297279b894.png/show,"If Sing or Dance is used, grants Atk+3 to target."
322,Blaze Dance 3,https://img.game8.co/3407812/4bfc58be07bfd31c4361f41544a15349.png/show,"If Sing or Dance is used, grants Atk+4 to target."
323,Gale Dance 1,https://img.game8.co/3406302/0ca9496e87ddb27442934677a7f4ddd4.png/show,"If Sing or Dance is used, grants Spd +2 to target."
324,Gale Dance 2,https://img.game8.co/3406300/374df234123a69549b7af840dfc35309.png/show,"If Sing or Dance is used, grants Spd +3 to target."
325,Gale Dance 3,https://img.game8.co/3406301/7b9c5b3ed8c8107bddb8ad2f964b9bf5.png/show,"If Sing or Dance is used, grants Spd +4 to target."
326,Earth Dance 1,https://img.game8.co/3407614/237b7a52c62c6e03c6dbe9fa1f21fb94.png/show,"If Sing or Dance is used, grants Def+3 to target."
327,Earth Dance 2,https://img.game8.co/3407611/11add469aebd907da74816a9e4acc0ea.png/show,"If Sing or Dance is used, grants Def+4 to target."
328,Earth Dance 3,https://img.game8.co/3407610/5953c279223f74e3130f61b87f87cdcb.png/show,"If Sing or Dance is used, grants Def+5 to target."
329,Torrent Dance 1,https://img.game8.co/3405558/8a3e49e35cb35d56add940f6f72cbb21.png/show,"If Sing or Dance is used, grants Res +3 to target."
330,Torrent Dance 2,https://img.game8.co/3405557/b7709f626304487aa80e0ceaa4540972.png/show,"If Sing or Dance is used, grants Res +4 to target."
331,Torrent Dance 3,https://img.game8.co/3405556/41b1576196810ea39c635b7ac975e460.png/show,"If Sing or Dance is used, grants Res +5 to target."
332,Firestorm Dance 1,https://img.game8.co/3407464/863723da0f91a6999669992a78abfdfe.png/show,"If Sing or Dance is used, grants Atk/Spd +2 to target."
333,Firestorm Dance 2,https://img.game8.co/3407463/7699e63f051b55586825f3e0553e96c1.png/show,"If Sing or Dance is used, grants Atk/Spd +3 to target."
334,Geyser Dance 1,https://img.game8.co/3406299/90f0593edfaeeecc6859c784118991e7.png/show,"If Sing or Dance is used, grants Def/Res +3 to target."
335,Geyser Dance 2,https://img.game8.co/3406298/a114c7abeb0adadc2ff786480d2144d9.png/show,"If Sing or Dance is used, grants Def/Res +4 to target."
336,Fireflood Dance 1,https://img.game8.co/3407465/b75d2dd22104a989514512c4a07204fb.png/show,"If Sing or Dance is used, grants Atk +2 and Res +3 to target."
337,Fireflood Dance 2,https://img.game8.co/3407462/d8a6b1c2f22a78029d7e2d0c4bffc7d0.png/show,"If Sing or Dance is used, grants Atk +3 and Res +4 to target."
338,Deluge Dance 1,https://img.game8.co/3407634/f2232ca652986e176180fe56f9d0dad3.png/show,"If Sing or Dance is used, grants Spd +2 and Res +3 to target."
339,Rockslide Dance 1,https://img.game8.co/3405726/bc510dcd7876fb829f14b0c6397a511b.png/show,"If Sing or Dance is used, grants Spd +2 and Def +3 to target."
340,Deluge Dance 2,https://img.game8.co/3407635/51a446b6f31eb5a33e5b41d16e009d38.png/show,"If Sing or Dance is used, grants Spd +3 and Res +4 to target."
341,Rockslide Dance 2,https://img.game8.co/3405727/2042b0213055b777d85038946fcb04d5.png/show,"If Sing or Dance is used, grants Spd +3 and Def +4 to target."
342,Caldera Dance 1,https://img.game8.co/3407235/4c341ee043f181d32610798fe6fef927.png/show,"If Sing or Dance is used, grants Atk+2 and Def+3 to target."
343,Caldera Dance 2,https://img.game8.co/3407226/5050d85a8f9fb98b48192af56f45c100.png/show,"If Sing or Dance is used, grants Atk+3 and Def+4 to target."
344,,,
345,Live to Serve 1,https://img.game8.co/3406143/c7323e302ee2fefb9125901a5277bf7c.png/show,"When healing allies with a staff, unit also recovers 50% of the HP restored."
346,Live to Serve 2,https://img.game8.co/3406141/5c33304998b500b347f0668b66623e69.png/show,"When healing allies with a staff, unit also recovers 75% of the HP restored."
347,Live to Serve 3,https://img.game8.co/3406142/ca332e405a0b29c4ed389d6bf86408c2.png/show,"When healing allies with a staff, unit also recovers the same amount."
348,Wrathful Staff 1,https://img.game8.co/3405489/fada184c6f789656f314e5b5aaf93fbc.png/show,"If unit has 100% HP at the start of combat, damage from their staff will be calculated the same as other weapons."
349,Wrathful Staff 2,https://img.game8.co/3405491/dc34c650147f91fbca8ae8013ecdec5b.png/show,"If unit has \xe2\x89\xa5 50% HP at the start of combat, damage from their staff will be calculated the same as other weapons."
350,Wrathful Staff 3,https://img.game8.co/3405490/dbd3113352134b1e43da6bd13b43a9c0.png/show,Damage from unit\xe2\x80\x99s staff will be calculated the same as other weapons.
351,Dazzling Staff 1,https://img.game8.co/3407712/0bd4adcc67935c2f5e0f188c4bacce2c.png/show,"If unit has 100% HP at the start of combat, the enemy cannot counterattack."
